B2,B3,B4,B5,B6,B7,B8,classname,,,
0.0783,0.1066,0.1256,0.1554,0.1729,0.187,0.1904,0,,,
0.0728,0.0954,0.1154,0.1333,0.1394,0.1495,0.1622,0,,,
0.0373,0.0758,0.0443,0.1143,0.2228,0.2412,0.257,0,,,10000
0.0648,0.1108,0.1032,0.1569,0.2574,0.2728,0.2586,0,,,
0.0911,0.1162,0.1496,0.1632,0.1723,0.1796,0.1896,0,,,
0.0569,0.0819,0.0875,0.1332,0.1918,0.2007,0.1938,0,,,
0.018,0.0456,0.0159,0.0846,0.2805,0.3585,0.3782,0,,,
0.0609,0.0884,0.105,0.1274,0.1318,0.1442,0.149,0,,,
0.1042,0.1366,0.1722,0.1801,0.1807,0.1925,0.2064,0,,,
0.0683,0.0962,0.1042,0.1311,0.1772,0.1876,0.1858,0,,,
0.0699,0.0983,0.111,0.1417,0.185,0.2001,0.206,0,,,
0.1268,0.1714,0.1978,0.2274,0.2439,0.2478,0.264,0,,,
0.0397,0.0715,0.0645,0.1146,0.1698,0.1874,0.2088,0,,,
0.0698,0.0993,0.104,0.1341,0.2056,0.2265,0.2284,0,,,
0.0451,0.074,0.0513,0.11,0.1667,0.2119,0.2644,0,,,
0.0679,0.0995,0.104,0.1405,0.1876,0.2083,0.2128,0,,,
0.1017,0.128,0.161,0.1777,0.176,0.1856,0.192,0,,,
0.0772,0.1038,0.1242,0.1663,0.1918,0.202,0.2002,0,,,
0.0691,0.0948,0.1086,0.1433,0.1498,0.1586,0.1602,0,,,
0.0454,0.0803,0.0524,0.1202,0.2107,0.2341,0.2406,0,,,
0.0379,0.0663,0.0507,0.114,0.1862,0.2143,0.231,0,,,
0.0708,0.1023,0.1128,0.1451,0.1629,0.1653,0.1928,0,,,
0.0628,0.0927,0.1074,0.1303,0.1453,0.1571,0.165,0,,,
0.102,0.1328,0.1604,0.1788,0.1806,0.1873,0.199,0,,,
0.0646,0.093,0.112,0.1329,0.1293,0.1371,0.146,0,,,
0.0243,0.0564,0.0274,0.0993,0.2041,0.2248,0.233,0,,,
0.0418,0.058,0.0754,0.0945,0.0979,0.1079,0.105,0,,,
0.0881,0.11,0.1394,0.1622,0.1702,0.1861,0.2024,0,,,
0.0536,0.0922,0.0805,0.137,0.2155,0.2274,0.2454,0,,,
0.123,0.165,0.208,0.206,0.2331,0.2509,0.274,0,,,
0.0619,0.0916,0.0967,0.1361,0.1515,0.1567,0.1678,0,,,
0.0729,0.1026,0.1188,0.1441,0.1623,0.1718,0.1748,0,,,
0.0685,0.103,0.0994,0.1437,0.1722,0.1776,0.1684,0,,,
0.0547,0.0904,0.0774,0.1383,0.1713,0.1798,0.1826,0,,,
0.0494,0.074,0.0703,0.1041,0.189,0.2109,0.1954,0,,,
0.0685,0.0877,0.111,0.1245,0.1311,0.1363,0.1532,0,,,
0.044,0.0788,0.0502,0.1132,0.2132,0.2354,0.2394,0,,,
0.0498,0.0736,0.0802,0.1098,0.12,0.132,0.13,0,,,
0.03,0.0678,0.0315,0.1077,0.2227,0.2445,0.262,0,,,
0.1182,0.165,0.1864,0.2107,0.2274,0.2423,0.2756,0,,,
0.0919,0.1134,0.139,0.1539,0.1646,0.1754,0.1808,0,,,
0.0737,0.0984,0.115,0.1407,0.1635,0.1742,0.175,0,,,
0.0916,0.1194,0.1506,0.1584,0.1618,0.1677,0.1844,0,,,
0.0468,0.08,0.0576,0.1127,0.2022,0.2232,0.2216,0,,,
0.1005,0.125,0.1606,0.1735,0.1736,0.1866,0.1974,0,,,
0.0395,0.0749,0.0436,0.1068,0.2397,0.2709,0.2574,0,,,
0.1024,0.1332,0.1694,0.1745,0.18,0.1868,0.2058,0,,,
0.0861,0.1122,0.131,0.149,0.1601,0.1767,0.17,0,,,
0.0702,0.0966,0.1102,0.136,0.1541,0.1646,0.1704,0,,,
0.0411,0.0792,0.0536,0.1142,0.2226,0.2431,0.2454,0,,,
0.0587,0.0844,0.08,0.1191,0.1509,0.1597,0.1648,0,,,
0.0434,0.0606,0.0725,0.0932,0.0883,0.0988,0.104,0,,,
0.0464,0.0777,0.0624,0.1281,0.1921,0.2191,0.2056,0,,,
0.0661,0.0888,0.112,0.1299,0.1448,0.1503,0.163,0,,,
0.0869,0.1138,0.1416,0.1532,0.1562,0.1636,0.1716,0,,,
0.1032,0.1424,0.1696,0.206,0.2331,0.2509,0.2464,0,,,
0.0655,0.0847,0.1088,0.1245,0.1311,0.1363,0.1534,0,,,
0.0547,0.0824,0.0702,0.1086,0.1493,0.1616,0.1612,0,,,
0.0485,0.0879,0.0697,0.1234,0.1811,0.1934,0.1896,0,,,
0.0838,0.1086,0.1294,0.1432,0.1639,0.1755,0.1766,0,,,
0.0923,0.1204,0.1462,0.1659,0.1737,0.1831,0.193,0,,,
0.1268,0.1714,0.1978,0.2274,0.2439,0.2478,0.264,0,,,
0.0326,0.065,0.0448,0.1014,0.2172,0.2486,0.2472,0,,,
0.0841,0.1102,0.1302,0.1465,0.1966,0.2208,0.2016,0,,,
0.0584,0.0832,0.0962,0.1244,0.1239,0.1332,0.139,0,,,
0.0695,0.0922,0.1128,0.1316,0.1337,0.1417,0.151,0,,,
0.0848,0.119,0.1438,0.1785,0.183,0.1968,0.2054,0,,,
0.0592,0.0828,0.0926,0.1271,0.1475,0.1564,0.1494,0,,,
0.0756,0.1006,0.1242,0.1487,0.1586,0.166,0.178,0,,,
0.0501,0.0822,0.0672,0.12,0.1807,0.195,0.2012,0,,,
0.0451,0.0858,0.0647,0.1366,0.2965,0.3096,0.2844,0,,,
0.1046,0.1312,0.1678,0.1874,0.1846,0.1956,0.201,0,,,
0.0524,0.0747,0.092,0.1098,0.12,0.132,0.135,0,,,
0.0822,0.1058,0.1286,0.1387,0.1446,0.1519,0.1568,0,,,
0.0698,0.094,0.1076,0.1363,0.1437,0.1515,0.1546,0,,,
0.0717,0.1072,0.1104,0.1311,0.2091,0.2216,0.2314,0,,,
0.0624,0.0938,0.1062,0.1318,0.1412,0.1508,0.1642,0,,,
0.0601,0.089,0.1007,0.1328,0.1376,0.1479,0.1532,0,,,
0.0766,0.1142,0.1064,0.155,0.1811,0.1888,0.198,0,,,
0.095,0.1372,0.1606,0.1968,0.2101,0.2205,0.2328,0,,,
0.0628,0.0878,0.0905,0.1214,0.1389,0.1467,0.1564,0,,,
0.0987,0.1246,0.156,0.1726,0.1812,0.1887,0.2046,0,,,
0.0425,0.063,0.0775,0.1038,0.1019,0.11,0.0998,0,,,
0.1118,0.141,0.1806,0.1918,0.1986,0.2038,0.2244,0,,,
0.0379,0.0728,0.0426,0.1108,0.2238,0.2473,0.2592,0,,,
0.086,0.112,0.137,0.1562,0.1621,0.1722,0.187,0,,,
0.1021,0.134,0.1628,0.1822,0.1876,0.199,0.221,0,,,
0.0974,0.1328,0.1566,0.1765,0.1893,0.1963,0.2142,0,,,
0.0476,0.0843,0.0654,0.1312,0.193,0.202,0.1998,0,,,
0.0622,0.0879,0.091,0.1248,0.1434,0.1559,0.1564,0,,,
0.0209,0.0466,0.0203,0.0741,0.2696,0.3324,0.3256,0,,,
0.0508,0.0832,0.0627,0.1246,0.2146,0.2358,0.2898,0,,,
